results/objectId,results/location/__type,results/location/latitude,results/location/longitude,results/cityId,results/name,results/country,results/countryCode,results/featureCode,results/adminCode,results/population,results/createdAt,results/updatedAt,results/muni
aNwNcQqmgJ,GeoPoint,43.64594,25.12627,733359,Belene,Bulgaria,BG,PPLA2,50,9781,2019-12-12T18:54:55.582Z,2019-12-12T18:54:55.582Z,
VtJspls92I,GeoPoint,41.61667,25.01667,733474,Banite,Bulgaria,BG,PPL,57,1279,2019-12-12T18:54:55.582Z,2019-12-12T18:54:55.582Z,
nDQyVEN4WL,GeoPoint,42.7,27.25,733579,Aytos,Bulgaria,BG,PPL,39,20986,2019-12-12T18:54:55.582Z,2019-12-12T18:54:55.582Z,
j8Kl2EeS5e,GeoPoint,41.94225,24.21843,733433,Batak,Bulgaria,BG,PPLA2,48,3917,2019-12-12T18:54:55.582Z,2019-12-12T18:54:55.582Z,
iFswq0b1Jn,GeoPoint,42.14962,26.81116,733092,Bolyarovo,Bulgaria,BG,PPL,65,1368,2019-12-12T18:54:55.582Z,2019-12-12T18:54:55.582Z,
7C73GNaibA,GeoPoint,42.01667,24.86667,733618,Asenovgrad,Bulgaria,BG,PPL,51,52170,2019-12-12T18:54:55.582Z,2019-12-12T18:54:55.582Z,
fBvB7Q5qz0,GeoPoint,42.65,25.2,733623,Asen,Bulgaria,BG,PPLA3,59,0,2019-12-12T18:54:55.582Z,2019-12-12T18:54:55.582Z,SZR24-02
eRrHeTmng0,GeoPoint,41.8383,23.48851,733462,Bansko,Bulgaria,BG,PPL,38,9232,2019-12-12T18:54:55.582Z,2019-12-12T18:54:55.582Z,
Af5jWla8n1,GeoPoint,42.21239,24.02081,733286,Belovo,Bulgaria,BG,PPL,48,4155,2019-12-12T18:54:55.582Z,2019-12-12T18:54:55.582Z,
5aeaZg2ej5,GeoPoint,43.94525,27.28751,733679,Alfatar,Bulgaria,BG,PPLA2,55,1916,2019-12-12T18:54:56.147Z,2019-12-12T18:54:56.147Z,
lKvJfpH9m7,GeoPoint,43.15,26.16667,733657,Antonovo,Bulgaria,BG,PPL,60,1543,2019-12-12T18:54:56.147Z,2019-12-12T18:54:56.147Z,
t2WjbR9w7n,GeoPoint,42.84142,24.91759,733649,Apriltsi,Bulgaria,BG,PPL,46,3851,2019-12-12T18:54:56.147Z,2019-12-12T18:54:56.147Z,
voHYWtumRM,GeoPoint,43.25615,27.82105,733716,Aksakovo,Bulgaria,BG,PPL,61,7132,2019-12-12T18:54:56.147Z,2019-12-12T18:54:56.147Z,
gsGsod7eH8,GeoPoint,42.75,24.28333,733660,Anton,Bulgaria,BG,PPL,58,1697,2019-12-12T18:54:56.147Z,2019-12-12T18:54:56.147Z,
PMd1s4muut,GeoPoint,43.40296,28.41189,8604898,Balgarevo,Bulgaria,BG,PPL,61,1375,2019-12-12T18:54:56.148Z,2019-12-12T18:54:56.148Z,
HhW0yxDlzW,GeoPoint,43.285,28.0418,6355004,Zlatni Pyasatsi,Bulgaria,BG,PPL,61,9760,2019-12-12T18:54:56.148Z,2019-12-12T18:54:56.148Z,
HUvBZFrCQr,GeoPoint,42.09768,27.93961,733722,Ahtopol,Bulgaria,BG,PPL,39,1107,2019-12-12T18:54:56.147Z,2019-12-12T18:54:56.147Z,BGS13-01
hraggmVkLj,GeoPoint,42.64987,27.64838,7874334,Aheloy,Bulgaria,BG,PPL,39,2112,2019-12-12T18:54:56.148Z,2019-12-12T18:54:56.148Z,
